Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
20, Apr, Individual,6512,12619,43101,10586,5784,na,na,na,na,na,43,398,349,182,131,1415,276,622,6703
20, Apr, Cumulative,6806,13169,44276,11194,6073,na,na,na,na,na,51,849,499,282,173,1834,389,1011,8806
20, May, Individual,4824,22701,62684,22041,15194,na,na,na,na,na,63,604,406,317,234,3692,351,585,12912
20, May, Cumulative,5362,23681,65153,24030,15994,na,na,na,na,na,79,872,532,450,333,4678,426,857,13773
20, Jun, Individual,5051,22971,64094,31053,14664,na,na,na,na,na,74,855,371,217,229,3993,478,548,8413
20, Jun, Cumulative,5859,26061,66790,33619,15734,na,na,na,na,na,119,1476,500,283,342,5589,718,918,10122
20, Jul, Individual,11249,43993,93729,54445,15802,na,na,na,na,na,39,1687,1038,884,623,6210,1167,1101,17766
20, Jul, Cumulative,12717,53031,99337,61041,16863,na,na,na,na,na,65,3975,1587,1509,1038,10293,1692,1625,21545
20, Aug, Individual,8592,48044,70350,50103,7240,na,na,na,na,na,53,1038,755,785,637,3241,1044,735,11390
20, Aug, Cumulative,10346,57540,74709,55615,7754,na,na,na,na,na,81,1925,935,1064,1599,4104,1303,1111,14297
20, Sep, Individual,5137,17779,56620,25983,9321,na,na,na,na,na,28,1120,404,233,717,3344,319,614,9004
20, Sep, Cumulative,6284,19177,59613,28260,10025,na,na,na,na,na,36,1598,563,314,850,4541,418,946,10223
20, Oct, Individual,9050,18232,61878,28750,10275,na,na,na,na,na,20,755,515,227,240,4633,345,822,11650
20, Oct, Cumulative,10971,20080,64876,33003,11140,na,na,na,na,na,28,1075,637,333,307,5424,515,1118,13965
20, Nov, Individual,7414,5660,41385,14888,9677,na,na,na,na,na,5,1039,317,153,123,1125,230,476,5136
20, Nov, Cumulative,8726,6284,43679,18059,10359,na,na,na,na,na,5,1349,377,294,148,1485,300,744,6170
20, Dec, Individual,12133,8463,49741,36726,36572,na,na,na,na,na,87,742,594,147,143,1842,231,3396,13677
20, Dec, Cumulative,13915,10229,53373,51802,48338,na,na,na,na,na,150,1288,1417,328,243,2812,441,17789,19591
20, Jan, Individual,21589,15009,56158,41722,9720,na,na,na,na,na,125,641,747,167,155,1642,201,9788,10417
20, Jan, Cumulative,25374,24359,61495,55485,11609,na,na,na,na,na,217,1750,2160,362,253,2509,559,53405,17261
20, Feb, Individual,7721,11206,45267,28602,4210,na,na,na,na,na,117,654,1211,288,315,4103,365,7770,11438
