url,âÊëúurl,ãõñº,êŒéÎ,ïOéR,å„éu,óØñG,ãÛím,è„êÏ,ìnìá,í_êU,ì˙çÇ,è@íJ,ñ‘ëñ,è\èü,ã˙òH,ç™é∫
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis036.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/02/fis036.jpg,Ainame,1 2 3 4 5 6 7 8 9 10 11 12,"1,2,3,4,5,6,7,8,9,10,11,12",1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,,,,,,,,,6 7 8 12 1 2 3 4,6 7 8 12 1 2 3 4
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis052.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/02/fis052.jpg,Aka-garei,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,,,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9 10 11 12
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis058.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/02/fis058.jpg,Asaba-garei,9 10 11,9 10 11,9 10 11,9 10 11,,,,,,11 12 1  2 3,11 12 1  2 3,,,
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis067.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/03/fis067.jpg,Asari,,,,,,,,,,,,9 10 11 12 1 2 3 4 5 6 7,9 10 11 12 1 2 3 4 5 6 7,4 5 6 7 9 10 11
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis017.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/01/fis017.jpg,Amemasu,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5,4 5
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis014.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/01/fis014.jpg,Ayu,7 8 9,7 8 9,7 8 9,7 8 9,,,7 8 9,7 8 9,7 8 9,,,,,
http://www.pref.hokkaido.lg.jp/sr/ske/osazu/oz01fis/fis044.htm,http://www.pref.hokkaido.lg.jp/sr/ske/osazu/res/02/fis044.jpg,Ikanago,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,,,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,4 5 6 7 8 9,,,
,,Ishi-garei,1 2 3,1 2 3,1 2 3,1 2 3,,,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3
,,Ito,,,,,,,,,,4 5 6 7 11 12,4 5 6 7 11 12,4 5 6 7 11 12,4 5 6 7 11 12,4 5 6 7 11 12
,,Ugui,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3,10 11 12 1 2 3
,,Ubagai,,,,,,,,7 8 9 10 11 12 1 2 3 4,12 1 2 3 4 5,3 4 5 7 8 9 10,,,,
,,Ezo-Awabi,,1 2 3 4 5 6 10 11 12,,,,,10 11 12 1 2 3 4 5 6 7,,,,,,,
,,Ezo-bafun-uni,5 6 7 8,,5 6 7 8,,,,12 1 2 3 4 5 6 7 8 9,,,4 5 6 7 8 9,,,,12 1 2 3 4 5 6 
,,Ezo-mebaru,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,,,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,4 5 6 10 11 12,,,
,,Oosaga,,,,,,,7 8 9 10 11,7 8 9 10 11,7 8 9 10 11,,,7 8 9 10 11,7 8 9 10 11,7 8 9 10 11
,,Oni-konbu,,,,,,,,,,,,6 7 8 9 10,6 7 8 9 10,6 7 8 9 10
,,Ohyou,,,,,,,,,,6,6,6,6,6
